"","state","county_name","county_fips","trump_share_2016","trump_share_2020","delta_share","z_delta","shift_flag"
"755","TEXAS","MOORE","48341",0.752649507948524,0.791394335511983,0.0387448275634588,0.707354987993187,"Within two standard deviations"
"756","ALABAMA","FRANKLIN","01059",0.786212624584718,0.824932421688663,0.0387197971039451,0.706487930099276,"Within two standard deviations"
"757","NEW YORK","SCHUYLER","36097",0.575695394436844,0.573629962241045,-0.00206543219579947,-0.706316936708424,"Within two standard deviations"
"758","NEW YORK","TOMPKINS","36109",0.243005764093913,0.2409659485754,-0.00203981551851298,-0.70542957216584,"Within two standard deviations"
"759","PENNSYLVANIA","SULLIVAN","42113",0.730548469387755,0.728511821974965,-0.00203664741278986,-0.705319828632187,"Within two standard deviations"
"760","OHIO","CRAWFORD","39033",0.707542756147008,0.746205162912114,0.0386624067651061,0.704499922396204,"Within two standard deviations"
"761","MISSISSIPPI","SUNFLOWER","28133",0.291102312981871,0.289123024480942,-0.00197928850092915,-0.703332909563128,"Within two standard deviations"
"762","ILLINOIS","EDGAR","17045",0.717007493966722,0.755612493899463,0.0386049999327415,0.702511343355572,"Within two standard deviations"
"763","MICHIGAN","MACOMB","26099",0.535794348838097,0.533858971868829,-0.0019353769692676,-0.70181180923574,"Within two standard deviations"
"764","TEXAS","MCLENNAN","48309",0.610306670882074,0.608376246526075,-0.00193042435599911,-0.70164025016278,"Within two standard deviations"
"765","TEXAS","LYNN","48305",0.769537083125933,0.808111644134322,0.0385745610083885,0.701456935639726,"Within two standard deviations"
"766","OHIO","ASHTABULA","39007",0.57058262167519,0.609101411194419,0.0385187895192284,0.69952500506909,"Within two standard deviations"
"767","ALABAMA","MORGAN","01103",0.74018639917858,0.738319496668032,-0.00186690251054811,-0.699439846390566,"Within two standard deviations"
"768","TENNESSEE","CARTER","47019",0.801460823373174,0.799608035276825,-0.00185278809634881,-0.698950921517143,"Within two standard deviations"
"769","KANSAS","BARBER","20007",0.821492007104796,0.859948761742101,0.038456754637305,0.697376109878406,"Within two standard deviations"
"770","INDIANA","JAY","18075",0.713373403456048,0.751802387424654,0.0384289839686063,0.696414130834382,"Within two standard deviations"
"771","TEXAS","HASKELL","48207",0.792655367231638,0.831074977416441,0.0384196101848024,0.696089421923684,"Within two standard deviations"
"772","IDAHO","BENEWAH","16009",0.741457586618877,0.779810979288156,0.0383533926692791,0.693795639841161,"Within two standard deviations"
"773","OHIO","MUSKINGUM","39119",0.650320348192804,0.688669220313851,0.0383488721210478,0.693639047549013,"Within two standard deviations"
"774","TENNESSEE","HANCOCK","47067",0.826086956521739,0.864431486880466,0.0383445303587273,0.693488648420648,"Within two standard deviations"
"775","MISSISSIPPI","SMITH","28129",0.777238757047332,0.775549417557344,-0.00168933948998817,-0.693289043663223,"Within two standard deviations"
"776","OHIO","PICKAWAY","39129",0.690078803798747,0.728414276113332,0.0383354723145845,0.693174876766829,"Within two standard deviations"
"777","SOUTH DAKOTA","DAY","46037",0.592282489989079,0.630566801619433,0.0382843116303543,0.691402664990394,"Within two standard deviations"
"778","MISSISSIPPI","BENTON","28009",0.560926987291303,0.599207274422942,0.0382802871316391,0.691263255908506,"Within two standard deviations"
"779","NEVADA","PERSHING","32027",0.70787083753784,0.746120689655172,0.0382498521173319,0.690208983637077,"Within two standard deviations"
"780","NORTH DAKOTA","PEMBINA","38067",0.700285442435776,0.738516961873311,0.0382315194375358,0.689573937575494,"Within two standard deviations"
"781","ILLINOIS","MENARD","17129",0.649424405218726,0.687644341801386,0.0382199365826597,0.689172706197824,"Within two standard deviations"
"782","PENNSYLVANIA","LEHIGH","42077",0.457721764300311,0.456161721156605,-0.00156004314370606,-0.688810203886565,"Within two standard deviations"
"783","KANSAS","ELLIS","20051",0.708629781535113,0.707101449275362,-0.00152833225975113,-0.687711735349021,"Within two standard deviations"
"784","TENNESSEE","CAMPBELL","47013",0.787583785509097,0.825755039174982,0.0381712536658849,0.687486324560878,"Within two standard deviations"
"785","MONTANA","MADISON","30057",0.690037672666388,0.688516510596353,-0.00152116207003472,-0.687463359181933,"Within two standard deviations"
